roll,slashing,bludgeoning,piercing,fire,cold,lightning,force,necrotic,radiant,acid,psychic,thunder
11,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Crystallize: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal magicks: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal effect: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.
12,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Crystallize: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal magicks: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal effect: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.
13,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Crystallize: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal magicks: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal effect: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.,**Brutal wound: **The target must make a successful DC 10 CON Save or its speed is halved for the remainder of the encounter.
14,**Nasty slice: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating strike: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating strike: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating inferno: **Reroll all 1s and 2s on the damage roll for this attack.,**Winter’s wrath: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating bolt: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating wizardry: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastation: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating righteousness: **Reroll all 1s and 2s on the damage roll for this attack.,**Bubbling grief: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating psychosis: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating barrage: **Reroll all 1s and 2s on the damage roll for this attack.
15,**Nasty slice: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating strike: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating strike: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating inferno: **Reroll all 1s and 2s on the damage roll for this attack.,**Winter’s wrath: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating bolt: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating wizardry: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastation: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating righteousness: **Reroll all 1s and 2s on the damage roll for this attack.,**Bubbling grief: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating psychosis: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating barrage: **Reroll all 1s and 2s on the damage roll for this attack.
16,**Nasty slice: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating strike: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating strike: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating inferno: **Reroll all 1s and 2s on the damage roll for this attack.,**Winter’s wrath: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating bolt: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating wizardry: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastation: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating righteousness: **Reroll all 1s and 2s on the damage roll for this attack.,**Bubbling grief: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating psychosis: **Reroll all 1s and 2s on the damage roll for this attack.,**Devastating barrage: **Reroll all 1s and 2s on the damage roll for this attack.
17,**Savage chop: **The target is also knocked prone.,**Savage pounding: **The target is also knocked prone.,**Ventilated: **The target is also knocked prone.,**Smoking ruin: **The target is also knocked prone.,**Steaming ruin: **The target is also knocked prone.,**Sparking ruin: **The target is also knocked prone.,**Blasted ruin: **The target is also knocked prone.,**Morbid ruin: **The target is also knocked prone.,**Luminous ruin: **The target is also knocked prone.,**Deteriorating ruin: **The target is also knocked prone.,**Wasted: **The target is also knocked prone.,**Wave of sound: **The target is also knocked prone.
18,**Savage chop: **The target is also knocked prone.,**Savage pounding: **The target is also knocked prone.,**Ventilated: **The target is also knocked prone.,**Smoking ruin: **The target is also knocked prone.,**Steaming ruin: **The target is also knocked prone.,**Sparking ruin: **The target is also knocked prone.,**Blasted ruin: **The target is also knocked prone.,**Morbid ruin: **The target is also knocked prone.,**Luminous ruin: **The target is also knocked prone.,**Deteriorating ruin: **The target is also knocked prone.,**Wasted: **The target is also knocked prone.,**Wave of sound: **The target is also knocked prone.
19,**Savage chop: **The target is also knocked prone.,**Savage pounding: **The target is also knocked prone.,**Ventilated: **The target is also knocked prone.,**Smoking ruin: **The target is also knocked prone.,**Steaming ruin: **The target is also knocked prone.,**Sparking ruin: **The target is also knocked prone.,**Blasted ruin: **The target is also knocked prone.,**Morbid ruin: **The target is also knocked prone.,**Luminous ruin: **The target is also knocked prone.,**Deteriorating ruin: **The target is also knocked prone.,**Wasted: **The target is also knocked prone.,**Wave of sound: **The target is also knocked prone.
20,**Inspiring stroke: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Inspiring stroke: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Inspiring stroke: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Inspiring blast: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Inspiring blast: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Inspiring blast: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Inspiring blast: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Intimidating blast: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Inspiring aura: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Inspiring blast: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Inspiring blast: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.,**Inspiring blast: **Your allies within 30 feet gain a d6 inspiration die that can be used during this encounter.
21,**Ruthless assault: **As a free action you may immediately make one melee attack vs. the same target.,**Ruthless assault: **As a free action you may immediately make one melee attack vs. the same target.,**Ruthless assault: **As a free action you may immediately make one melee attack vs. the same target.,**Blistering assault: **As a free action you may immediately make one attack vs. the same target.,**Frigid assault: **As a free action you may immediately make one attack vs. the same target.,**Jarring assault: **As a free action you may immediately make one attack vs. the same target.,**Preternatural assault: **As a free action you may immediately make one attack vs. the same target.,**Grim assault: **As a free action you may immediately make one attack vs. the same target.,**Exalted assault: **As a free action you may immediately make one attack vs. the same target.,**Decomposing assault: **As a free action you may immediately make one attack vs. the same target.,**Mental assault: **As a free action you may immediately make one attack vs. the same target.,**Booming assault: **As a free action you may immediately make one attack vs. the same target.
22,**Ruthless assault: **As a free action you may immediately make one melee attack vs. the same target.,**Ruthless assault: **As a free action you may immediately make one melee attack vs. the same target.,**Ruthless assault: **As a free action you may immediately make one melee attack vs. the same target.,**Blistering assault: **As a free action you may immediately make one attack vs. the same target.,**Frigid assault: **As a free action you may immediately make one attack vs. the same target.,**Jarring assault: **As a free action you may immediately make one attack vs. the same target.,**Preternatural assault: **As a free action you may immediately make one attack vs. the same target.,**Grim assault: **As a free action you may immediately make one attack vs. the same target.,**Exalted assault: **As a free action you may immediately make one attack vs. the same target.,**Decomposing assault: **As a free action you may immediately make one attack vs. the same target.,**Mental assault: **As a free action you may immediately make one attack vs. the same target.,**Booming assault: **As a free action you may immediately make one attack vs. the same target.
23,**Ruthless assault: **As a free action you may immediately make one melee attack vs. the same target.,**Ruthless assault: **As a free action you may immediately make one melee attack vs. the same target.,**Ruthless assault: **As a free action you may immediately make one melee attack vs. the same target.,**Blistering assault: **As a free action you may immediately make one attack vs. the same target.,**Frigid assault: **As a free action you may immediately make one attack vs. the same target.,**Jarring assault: **As a free action you may immediately make one attack vs. the same target.,**Preternatural assault: **As a free action you may immediately make one attack vs. the same target.,**Grim assault: **As a free action you may immediately make one attack vs. the same target.,**Exalted assault: **As a free action you may immediately make one attack vs. the same target.,**Decomposing assault: **As a free action you may immediately make one attack vs. the same target.,**Mental assault: **As a free action you may immediately make one attack vs. the same target.,**Booming assault: **As a free action you may immediately make one attack vs. the same target.
24,**Nicked an artery: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 damage every rd. until it saves.,**Smashed: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 damage every rd. until it saves.,**Skewered: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 damage every rd. until it saves.,**Roasted: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 fire damage every rd. until it saves.,**Roasted: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 cold damage every rd. until it saves.,**Zapped: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 lightning damage every rd. until it saves.,**Ensorcelled: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 force damage every rd. until it saves.,**Final judgment: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 necrotic damage every rd. until it saves. ,**Scintillating glow: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 radiant damage every rd. until it saves. ,**Scoured: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 acid damage every rd. until it saves.,**Unhinged: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 psychic damage every rd. until it saves.,**Detonated: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 thunder damage every rd. until it saves.
25,**Nicked an artery: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 damage every rd. until it saves.,**Smashed: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 damage every rd. until it saves.,**Skewered: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 damage every rd. until it saves.,**Roasted: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 fire damage every rd. until it saves.,**Roasted: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 cold damage every rd. until it saves.,**Zapped: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 lightning damage every rd. until it saves.,**Ensorcelled: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 force damage every rd. until it saves.,**Final judgment: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 necrotic damage every rd. until it saves. ,**Scintillating glow: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 radiant damage every rd. until it saves. ,**Scoured: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 acid damage every rd. until it saves.,**Unhinged: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 psychic damage every rd. until it saves.,**Detonated: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 thunder damage every rd. until it saves.
26,**Nicked an artery: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 damage every rd. until it saves.,**Smashed: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 damage every rd. until it saves.,**Skewered: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 damage every rd. until it saves.,**Roasted: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 fire damage every rd. until it saves.,**Roasted: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 cold damage every rd. until it saves.,**Zapped: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 lightning damage every rd. until it saves.,**Ensorcelled: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 force damage every rd. until it saves.,**Final judgment: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 necrotic damage every rd. until it saves. ,**Scintillating glow: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 radiant damage every rd. until it saves. ,**Scoured: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 acid damage every rd. until it saves.,**Unhinged: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 psychic damage every rd. until it saves.,**Detonated: **The target must make a successful DC 12 CON Save or suffer and additional 1d8 thunder damage every rd. until it saves.
27,**Bloody trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Bruising trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Frazzling trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Cleansing trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Corroding trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Subliminal trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deals half damage for the remainder of the encounter unless it succeeds on a DC 10 CON Save.
28,**Bloody trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Bruising trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Frazzling trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Cleansing trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Corroding trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Subliminal trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deals half damage for the remainder of the encounter unless it succeeds on a DC 10 CON Save.
29,**Bloody trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Bruising trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Frazzling trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save. ,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Cleansing trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Corroding trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Subliminal trauma: **The target’s melee attacks only deal half damage for the remainder of the encounter unless it makes a DC 10 CON Save.,**Ghastly trauma: **The target’s melee attacks only deals half damage for the remainder of the encounter unless it succeeds on a DC 10 CON Save.
